(-10.000000, 0.000000)
(-9.591837, 0.000000)
(-9.183673, 0.000000)
(-8.775510, 0.000000)
(-8.367347, 0.000000)
(-7.959184, 0.000000)
(-7.551020, 0.000000)
(-7.142857, 0.000000)
(-6.734694, 0.000000)
(-6.326531, 0.000000)
(-5.918367, 0.000000)
(-5.510204, 0.000000)
(-5.102041, 0.000000)
(-4.693878, 0.000000)
(-4.285714, 0.000001)
(-3.877551, 0.000014)
(-3.469388, 0.000194)
(-3.061224, 0.001941)
(-2.653061, 0.013718)
(-2.244898, 0.068085)
(-1.836735, 0.234358)
(-1.428571, 0.546587)
(-1.020408, 0.819225)
(-0.612245, 0.665933)
(-0.204082, 0.000000)
(0.204082, -0.665933)
(0.612245, -0.819225)
(1.020408, -0.546587)
(1.428571, -0.234358)
(1.836735, -0.068085)
(2.244898, -0.013718)
(2.653061, -0.001941)
(3.061224, -0.000194)
(3.469388, -0.000014)
(3.877551, -0.000001)
(4.285714, -0.000000)
(4.693878, -0.000000)
(5.102041, -0.000000)
(5.510204, -0.000000)
(5.918367, -0.000000)
(6.326531, -0.000000)
(6.734694, -0.000000)
(7.142857, -0.000000)
(7.551020, -0.000000)
(7.959184, -0.000000)
(8.367347, -0.000000)
(8.775510, -0.000000)
(9.183673, -0.000000)
(9.591837, -0.000000)
